"","Forma_i_poziom","Zajêcia","Forma zajêæ / liczba godzin","Forma zaliczenia","Punkty ECTS","...5","X1","X2","X3","X4","X5"
"1","Chemia (stacjonarne I stopnia)","Szkolenie bhp","Szkolenie bhp:
                    4, w tym zajêcia zdalne:
                    Szkolenie bhp asynchroniczne: 4","Zaliczenie","-","O",NA,NA,NA,NA,NA
"2","Chemia (stacjonarne I stopnia)","Technologia informacyjna","Laboratorium:
                    30","Zaliczenie z ocen¹","2","O",NA,NA,NA,NA,NA
"3","Chemia (stacjonarne I stopnia)","Studia od podszewki","Konwersatorium:
                    15","Zaliczenie z ocen¹","1","O",NA,NA,NA,NA,NA
"4","Chemia (stacjonarne I stopnia)","Podstawy chemii","Wyk³ad:
                    30                    
                                Proseminarium:
                    30                    
                                Æwiczenia:
                    30                    
                                Laboratorium:
                    90, w tym zajêcia zdalne:
                    Laboratorium cyfrowe asynchroniczne: 10","Egzamin                    
                                                    Zaliczenie z ocen¹                    
                                                    Zaliczenie z ocen¹                    
                                                    Zaliczenie z ocen¹","13","O",NA,NA,NA,NA,NA
"5","Chemia (stacjonarne I stopnia)","Podstawy chemii analitycznej","Wyk³ad:
                    15                    
                                Laboratorium:
                    45","Egzamin                    
                                                    Zaliczenie z ocen¹","5","O",NA,NA,NA,NA,NA
"6","Chemia (stacjonarne I stopnia)","Ochrona w³asnoœci intelektualnej","Wyk³ad:
                    15","Zaliczenie z ocen¹","2","O",NA,NA,NA,NA,NA
"7","Chemia (stacjonarne I stopnia)","Matematyka","Wyk³ad:
                    15                    
                                Æwiczenia:
                    30","Egzamin                    
                                                    Zaliczenie z ocen¹","4","O",NA,NA,NA,NA,NA
"8","Chemia (stacjonarne I stopnia)","Prawna ochrona innowacji","Wyk³ad:
                    15","Zaliczenie z ocen¹","1","O",NA,NA,NA,NA,NA
"9","Chemia (stacjonarne I stopnia)","Suma","364","","28","",NA,NA,NA,NA,NA
"10","Chemia (stacjonarne I stopnia)","Zajêcia","Forma zajêæ / liczba godzin","Forma zaliczenia","Punkty ECTS","",NA,NA,NA,NA,NA
"11","Chemia (stacjonarne I stopnia)","Matematyka","Wyk³ad:
                    15                    
                                Æwiczenia:
                    30","Egzamin                    
                                                    Zaliczenie z ocen¹","4","O",NA,NA,NA,NA,NA
"12","Chemia (stacjonarne I stopnia)","Fizyka","Wyk³ad:
                    30                    
                                Laboratorium:
                    45","Egzamin                    
                                                    Zaliczenie z ocen¹","6","O",NA,NA,NA,NA,NA
"13","Chemia (stacjonarne I stopnia)","Podstawy chemii analitycznej","Wyk³ad:
                    30                    
                                Æwiczenia:
                    15                    
                                Laboratorium:
                    60","Egzamin                    
                                                    Zaliczenie z ocen¹                    
                                                    Zaliczenie z ocen¹","8","O",NA,NA,NA,NA,NA
"14","Chemia (stacjonarne I stopnia)","Wprowadzenie do chemii organicznej","Laboratorium:
                    15","Zaliczenie z ocen¹","1","O",NA,NA,NA,NA,NA
"15","Chemia (stacjonarne I stopnia)","Wprowadzenie do chemii nieorganicznej","Laboratorium:
                    15","Zaliczenie z ocen¹","1","O",NA,NA,NA,NA,NA
"16","Chemia (stacjonarne I stopnia)","Jêzyk angielski A2","Lektorat:
                    30","Zaliczenie z ocen¹","2","O",NA,NA,NA,NA,NA
