"","Forma_i_poziom","Przedmiot","Liczba godzin","Punkty ECTS","Forma weryfikacji","Kod","Blok"
"1","Bachelor in Business Administration (stacjonarne I stopnia)","Academic discourse and study skills","Wyk³ad: 30","3","Zaliczenie","1","A"
"2","Bachelor in Business Administration (stacjonarne I stopnia)","Computer information system in business","Wyk³ad: 15","1","Zaliczenie","1","A"
"3","Bachelor in Business Administration (stacjonarne I stopnia)","Elements of law","Wyk³ad: 30","4","Zaliczenie","1","A"
"4","Bachelor in Business Administration (stacjonarne I stopnia)","Fundamentals of finance","Wyk³ad: 15
                                                                                Æwiczenia: 30","4","Egzamin","1","B"
"5","Bachelor in Business Administration (stacjonarne I stopnia)","Fundamentals of management","Wyk³ad: 15
                                                                                Æwiczenia: 30","4","Egzamin","1","B"
"6","Bachelor in Business Administration (stacjonarne I stopnia)","Mathematics","Wyk³ad: 30
                                                                                Æwiczenia: 30","7","Egzamin","1","A"
"7","Bachelor in Business Administration (stacjonarne I stopnia)","Microeconomics","Wyk³ad: 30
                                                                                Æwiczenia: 30","7","Egzamin","1","A"
"8","Bachelor in Business Administration (stacjonarne I stopnia)","Sports","Æwiczenia: 30","-","Zaliczenie","1","B"
"9","Bachelor in Business Administration (stacjonarne I stopnia)","Suma","315","30","","",""
"10","Bachelor in Business Administration (stacjonarne I stopnia)","Suma (Wyk³ad)","165","","","",""
"11","Bachelor in Business Administration (stacjonarne I stopnia)","Suma (Æwiczenia)","150","","","",""
"12","Bachelor in Business Administration (stacjonarne I stopnia)","Przedmiot","Liczba godzin","Punkty ECTS","Forma weryfikacji","Kod","Blok"
"13","Bachelor in Business Administration (stacjonarne I stopnia)","Financial accounting","Wyk³ad: 30
                                                                                Æwiczenia: 30","6","Egzamin","1","B"
"14","Bachelor in Business Administration (stacjonarne I stopnia)","Foreign language","Æwiczenia: 30","2","Zaliczenie","1","D(A)"
"15","Bachelor in Business Administration (stacjonarne I stopnia)","Business English","Æwiczenia: 30","2","Zaliczenie","3","D(A)"
"16","Bachelor in Business Administration (stacjonarne I stopnia)","French","Æwiczenia: 30","2","Zaliczenie","3","D(A)"
"17","Bachelor in Business Administration (stacjonarne I stopnia)","German","Æwiczenia: 30","2","Zaliczenie","3","D(A)"
"18","Bachelor in Business Administration (stacjonarne I stopnia)","Russian","Æwiczenia: 30","2","Zaliczenie","3","D(A)"
"19","Bachelor in Business Administration (stacjonarne I stopnia)","Spanish","Æwiczenia: 30","2","Zaliczenie","3","D(A)"
"20","Bachelor in Business Administration (stacjonarne I stopnia)","Fundamentals of marketing","Wyk³ad: 15
                                                                                Æwiczenia: 30","4","Egzamin","1","B"
"21","Bachelor in Business Administration (stacjonarne I stopnia)","Macroeconomics","Wyk³ad: 30
                                                                                Æwiczenia: 30","7","Egzamin","1","A"
"22","Bachelor in Business Administration (stacjonarne I stopnia)","Organizational behaviour","Wyk³ad: 30
                                                                                Æwiczenia: 30","6","Egzamin","1","A"
"23","Bachelor in Business Administration (stacjonarne I stopnia)","Sports","Æwiczenia: 30","-","Zaliczenie","1","B"
"24","Bachelor in Business Administration (stacjonarne I stopnia)","Statistics for business and economics","Wyk³ad: 15
                                                                                Æwiczenia: 30","5","Egzamin","1","A"
"25","Bachelor in Business Administration (stacjonarne I stopnia)","Suma","330","30","","",""
"26","Bachelor in Business Administration (stacjonarne I stopnia)","Suma (Wyk³ad)","120","","","",""
"27","Bachelor in Business Administration (stacjonarne I stopnia)","Suma (Æwiczenia)","210","","","",""
"28","Bachelor in Business Administration (stacjonarne I stopnia)","Przedmiot","Liczba godzin","Punkty ECTS","Forma weryfikacji","Kod","Blok"
"29","Bachelor in Business Administration (stacjonarne I stopnia)","Foreign language","Æwiczenia: 30","2","Zaliczenie","1","D(A)"
"30","Bachelor in Business Administration (stacjonarne I stopnia)","Business English","Æwiczenia: 30","2","Zaliczenie","3","D(A)"
"31","Bachelor in Business Administration (stacjonarne I stopnia)","French","Æwiczenia: 30","2","Zaliczenie","3","D(A)"
"32","Bachelor in Business Administration (stacjonarne I stopnia)","German","Æwiczenia: 30","2","Zaliczenie","3","D(A)"
"33","Bachelor in Business Administration (stacjonarne I stopnia)","Russian","Æwiczenia: 30","2","Zaliczenie","3","D(A)"
